#floor	vnum1	count1	vnum2	count2	vnum3	count3	vnum4	count4	vnum5	count5
1	93100	1	71084	2000	30618	1	25041	1	91116	5
2	93100	1	71084	2000	30618	1	25041	1	91116	5
3	93100	1	71084	2000	30618	1	25041	1	91116	5
4	93100	1	71084	2000	30618	1	25041	1	91116	5
5	93100	1	71084	2000	30618	1	25041	1	91116	5
6	93100	1	71084	2000	30618	1	25041	1	91116	5
7	93100	1	71084	2000	30618	1	25041	1	91116	5
8	93100	1	71084	2000	30618	1	25041	1	91116	5
9	93100	1	71084	2000	30618	1	25041	1	91116	5
10	93100	1	71084	2000	30618	1	25041	1	91116	5
11	93100	2	71084	2000	30618	1	72346	1	91116	10
12	93100	2	71084	2000	30618	1	72346	1	91116	10
13	93100	2	71084	2000	30618	1	72346	1	91116	10
14	93100	2	71084	2000	30618	1	72346	1	91116	10
15	93100	2	71084	2000	30618	1	72346	1	91116	10
16	93100	2	71084	2000	30618	1	72346	1	91116	10
17	93100	2	71084	2000	30618	1	72346	1	91116	10
18	93100	2	71084	2000	30618	1	72346	1	91116	10
19	93100	2	71084	2000	30618	1	72346	1	91116	10
20	93100	2	71084	2000	30618	1	72346	1	91116	10
21	93100	4	71084	2000	30618	2	49994	2	6884	15
22	93100	4	71084	2000	30618	2	49994	2	6884	15
23	93100	4	71084	2000	30618	2	49994	2	6884	15
24	93100	4	71084	2000	30618	2	49994	2	6884	15
25	93100	4	71084	2000	30618	2	49994	2	6884	15
26	93100	4	71084	2000	30618	2	49994	2	6884	15
27	93100	4	71084	2000	30618	2	49994	2	6884	15
28	93100	4	71084	2000	30618	2	49994	2	6884	15
29	93100	4	71084	2000	30618	2	49994	2	6884	15
30	93100	4	71084	2000	30618	2	49994	2	6884	15
31	93100	5	51115	1	30618	2	49994	2	6884	20
32	93100	5	51115	1	30618	2	49994	2	6884	20
33	93100	5	51115	1	30618	2	49994	2	6884	20
34	93100	5	51115	1	30618	2	49994	2	6884	20
35	93100	5	51115	1	30618	2	49994	2	6884	20
36	93100	5	51115	1	30618	2	49994	2	6884	20
37	93100	5	51115	1	30618	2	49994	2	6884	20
38	93100	5	51115	1	30618	2	49994	2	6884	20
39	93100	5	51115	1	30618	2	49994	2	6884	20
40	93100	5	51115	1	30618	2	49994	2	6884	20
41	93100	5	51115	1	30618	2	49994	2	6884	20
42	93100	5	51115	1	30618	2	49994	2	6884	20
43	93100	5	51115	1	30618	2	49994	2	6884	20
44	93100	5	51115	1	30618	2	49994	2	6884	20
45	93100	5	51115	1	30618	2	49994	2	6884	20
46	93100	8	51115	2	30618	3	49994	3	6884	25
47	93100	8	51115	2	30618	3	49994	3	6884	25
48	93100	8	51115	2	30618	3	49994	3	6884	25
49	93100	8	51115	2	30618	3	49994	3	6884	25
50	93100	8	51115	2	30618	3	49994	3	6884	25
