ACCE_ABSORB_CHANCE	Absorption rate: %d%%
ACCE_ABSORB_COST	Coste de combinación: %d
ACCE_ABSORB_CHANCE2	Absorption rate: %d%% ~ %d%%
ACCE_ALREADY_REGISTER	Este objeto ya se está utilizando.
ACCE_DO_YOU_CLEAN	Do you want to remove all available bonuses?
ACCE_FAILURE_CLEAN	No bonuses can be taken away.
ACCE_DEL_ABSORDITEM	¿Deseas absorber el objeto y destruirlo en el proceso?
ACCE_DEL_SERVEITEM	Si falla la combinación, la Estola 2 quedará destruida.
ACCE_DEL_SERVEITEM2	Si falla la combinación, la Estola 2 quedará destruida.
ACCE_INITEM	Arrastra los objetos a la ventana.
ACCE_MAXGRADE	Ya está personalizada.
ACCE_MAX_DRAINRATE	Tasa de absorción máxima
ACCE_NOTABSORBITEM	No puedes usar un arma o armadura que ya se haya absorbido.
ACCE_NOT_SEALITEM	No puedes usar objetos que se encuentren bajo el efecto de la Unión al alma.
ACCE_NOT_USINGITEM	No puedes combinar un objeto equipado.
ACCE_NOT_WINDOWOPEN	No puedes usar el objeto mientras la ventana de combinación se encuentre abierta.
ACCE_POSSIBLE_ACCE	Solo puedes usar Estolas.
ACCE_POSSIBLE_ACCEITEM	Solo puedes extraer bonificaciones de armas y armaduras.
ACCEPT_WARP_FROM_YOUR_FRIEND_REQUEST	Do you accept %s to teleport to you?
AFF_LOVE_POINT	Puntos de amor: %d%%
ALIGNMENT_NAME	Puntos de clasificación:
alsoExportToCharset	windows-1252
ATTACK_ERROR_UNKNOWN	Error desconocido de ataque: %s
ATTENDANCE_REWARD_QUESTION	¿Quieres recibir tu recompensa?
ATTR_6TH_7TH_ADD_QUESTION1	No puedes utilizar este objeto mientras se está añadiendo una bonificación.
ATTR_6TH_7TH_ADD_QUESTION2	¿Seguro que quieres añadir la bonificación?
ATTR_6TH_7TH_CHANGE_FAIL	No puedes modificar la bonificación.
ATTR_6TH_7TH_DESC1	a) Debes introducir los materiales necesarios para el objeto para poder añadir la 6.ª y 7.ª bonificación.
ATTR_6TH_7TH_DESC2	b) Cada fragmento aumenta la tasa de éxito en un 2 %.
ATTR_6TH_7TH_DESC3	c) Utiliza una ampliación para aumentar la tasa de éxito de forma adicional.
ATTR_6TH_7TH_DESC4	d) Hacen falta 24 horas para añadir la bonificación. El PNJ se quedará con el objeto al que se añadirá la bonificación. En cuanto el proceso haya finalizado, podrás volver a recogerlo.
ATTR_6TH_7TH_POSSIBILITY	Puedes añadir una bonificación adicional.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Probabilidad de éxito: %.1f%%
AURA_CLEAR_CANNOT_USE_SEALED_ITEM	No es posible modificar los atributos de un objeto vinculado al alma.
AURA_CLEAR_QUESTION_WHEN_USE	¿Quieres eliminar los atributos aplicados? No se podrán restaurar.
AURA_BOOST_DRAIN_PER	Extra Absorption +%d%%
AURA_DRAIN_PER	Tasa de absorción %.1f %%
AURA_DRAIN_BOOST_PER	Absorption rate %.1f%% (+%d%%)
AURA_EVOLUTION_GOLD	[Aura] No hay suficiente Yang para desarrollar.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] No es posible transferir más bonificaciones.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] No se pueden utilizar objetos equipados.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] No se puede desarrollar.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] La cantidad de objetos no es suficiente para desarrollar.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] No se puede mejorar.
AURA_IMPOSSIBLE_GROWTHITEM2	[Aura]	You need to attach the materials.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Solo es posible para Vestimenta del aura, Escudo, Collar, Pendientes y Pulsera.
AURA_IMPOSSIBLE_REFINEITEM2	Only Aura Outfit, Shield, Necklace, Earring and Armband can be used.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Los objetos unidos al alma no se pueden transferir.
AURA_ITEM_NEED_REGISTER	[Aura] Tienes que añadir objetos.
AURA_LEVEL_STEP	Nv. %d (evolución %d)
AURA_MAX_LEVEL	[Aura] La Vestimenta del aura ha llegado al nivel máximo.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] Se destruirá el objeto transferido.
AURA_OPEN_OTHER_WINDOW	No puedes realizar esta acción mientras esté abierta una ventana de mejora, desarrollo o transferencia de valores.
AURA_POSSIBLE_AURAITEM	[Aura] Solo es posible para la Vestimenta del aura.
AURA_POSSIBLE_AURARESOURCE	Only Aura Ice Rune and Aura Fire Rune can be used.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] Primero tienes que asignar la Vestimenta del aura.
AURA_TITLE_ABSORB	Transferir valores a la Vestimenta del aura
AURA_TITLE_EVOLUTION	Desarrollar la Vestimenta del aura
AURA_TITLE_GROWTH	Mejorar la Vestimenta del aura
AURA_TOOLTIP_EVOLUTION_PER	Chance: %d%%
AURA_TOOLTIP_EXP	EXP (%d %% / 100 %%)
AURA_TOOLTIP_LEVEL	Nv. %d (nivel %d) (Tasa de absorción %.1f %%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Nuevo
AURA_TOOLTIP_NOW	Novedad
AURA_TOOLTIP_RESOURCE	Objeto de consumo
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_HUNTING_MSG_CANNOT_CHANGE_NON_WEAPON	No puedes equiparte esto mientras la Autocaza esté activa.
AUTO_HUNTING_MSG_CANNOT_START_WITHOUT_WEAPON	Mientras tengas este objeto equipado, no podrás utilizar la Autocaza.
AUTO_HUNTING_OPTION_BOSS	Jefe
AUTO_HUNTING_OPTION_KING	Nivel 5
AUTO_HUNTING_OPTION_KNIGHT	Nivel 3
AUTO_HUNTING_OPTION_PAWN	Nivel 1
AUTO_HUNTING_OPTION_STONE	Piedra Metin
AUTO_HUNTING_OPTION_S_KNIGHT	Nivel 4
AUTO_HUNTING_OPTION_S_PAWN	Nivel 2
AUTO_TOOLTIP_CLEAR	Restablecer
AUTO_TOOLTIP_LINE1	Habilidades: selecciona habilidades para el combate y arrástralas a las casillas. (Premium)
AUTO_TOOLTIP_LINE2	Atención: Debajo de cada habilidad puedes editar su intervalo de activación (en segundos).
AUTO_TOOLTIP_LINE3	Pociones: selecciona pociones para el combate y arrástralas a las casillas. (Premium)
AUTO_TOOLTIP_LINE4	Atención: Las pociones de HP y de SP se activan cuando se sobrepasa el valor (en porcentaje) introducido debajo de la poción.
AUTO_TOOLTIP_LINE5	Consejo: En la tienda de objetos se puede activar el uso automático de habilidades, pociones y resurrección.
AUTO_TOOLTIP_LINE6	5) Las pociones y objetos seleccionados se utilizarán automáticamente una vez que haya expirado el potenciador, sin que aparezca la duración restante.
AUTO_TOOLTIP_LINE7	6) Utiliza la flecha junto a "Atacar" para determinar lo fuertes que deberían ser los monstruos a los que atacar (+/- nivel con respecto a tu nivel).
AUTO_TOOLTIP_LINE8	7) Utiliza la flecha junto a "Alcance" para determinar la distancia a la que quieras que estén los monstruos para atacarlos.
AUTO_TOOLTIP_TITLE	Ayuda de la autocaza
BATTLE_MAP_NAME_AREA_1	Zona 1
BATTLE_MAP_NAME_AREA_2	Zona 2
BATTLE_MAP_NAME_AREA_3	Zona 3
BATTLE_MAP_NAME_AREA_4	Zona 4
BATTLE_MAP_NAME_AREA_5	Zona 5
BATTLE_MAP_NAME_AREA_6	Zona 6
BATTLE_MAP_NAME_AREA_7	Zona 7
BATTLE_MAP_NAME_AREA_8	Zona 8
BATTLE_MAP_NAME_AREA_9	Zona 9
BATTLE_POINT	Puntos de combate
BATTLE_ROYALE_ALIVE_COUNT	Supervivientes: %d
BATTLE_ROYALE_APPLICATION_TITLE	Battle Royale
BATTLE_ROYALE_CANNOT_OPEN_MALL	Eso no se puede abrir aquí.
BATTLE_ROYALE_KILL_COUNT	Adversarios derrotados: %d
BATTLE_ROYALE_MAINBUTTON_APPLICATION	Participar
BATTLE_ROYALE_MAINBUTTON_CANCEL	Cancelar
BATTLE_ROYALE_MAINBUTTON_EXIT	Abandonar
BATTLE_ROYALE_MAINBUTTON_STARTABLE	Empezar
BATTLE_ROYALE_NOTIFY_APPLICATED	Te has registrado en Battle Royale. Podrás entrar en cuanto haya suficientes participantes.
BATTLE_ROYALE_NOTIFY_ENTRY_CLOSED	Ha concluido el registro en Battle Royale.
BATTLE_ROYALE_NOTIFY_STARTABLE	Ya puedes acceder a Battle Royale. Para participar, haz clic en el botón de evento.
BATTLE_ROYALE_NOTIFY_WINNER	¡Victoria!
BATTLE_ROYALE_PERSONAL_RANK	Puesto personal: %d
BATTLE_ROYALE_QUESTION_USE_INFINITE_STAMINA	¿Quieres activar resistencia infinita?
BATTLE_ROYALE_WHO_KILLED	Te ha derrotado: %s
BATTLE_ROYALE_WINNER_1	¡Has ganado el Battle Royale!
BATTLE_ROYALE_WINNER_2	Se te teletransportará a la aldea en un momento.
BEAD	Esfera ánima
BEAD_TIME_REMAINING_TO_GET	La Esfera ánima se recargará en %d min.
BELT_RENEWAL_BANN_SIGN	No es posible continuar.
BELT_RENEWAL_INVENTORY_FULL	No hay espacio suficiente en tu inventario.
BNW_COIN	Moneda de vidente
BUY_LIMIT_LEVEL	Límite de compra: %s
CANNOT_ATTACK_DEST_IN_SAFE	El combatiente está demasiado lejos.
CANNOT_ATTACK_SELF_IN_SAFE	No puedo atacar.
CANNOT_DOING_PRIVATE_SHOP_OPEN	No puedes realizar ninguna otra acción mientras tengas abierta una tienda privada.
CANNOT_EQUIP_IN_EXCHANGE	No puedes cambiar ningún equipamiento mientras comercias.
CANNOT_EQUIP_IN_SHOP	No puedes cambiar ningún equipamiento mientras comercias.
CANNOT_FISHING_RIDE_MOUNT	No se puede pescar a lomos de una montura.
CANNOT_FISHING_WHILE_POLY	No se puede pescar si se está transformado.
CANNOT_ILLUSTRATIONPAGE_WARP	Aquí no se puede utilizar el teletransporte de carta de monstruo.
CANNOT_MOVE_DRAGON_SOUL_WHILE_ATTACK	No puedes hacer eso mientras te estés moviendo.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	No puedes abrir un almacén privado en un área pública.
CANNOT_POLY_STATUS	Ahora no puedes transformarte.
CANNOT_PVP_MAP_MESSAGE	Eso no se puede hacer en esta área.
CANNOT_SHOOT_DEST_IN_SAFE	El enemigo está demasiado lejos.
CANNOT_SHOOT_EMPTY_ARROW	Necesito una flecha.
CANNOT_SHOOT_SELF_IN_SAFE	No puedo hacer eso.
CANNOT_SKILL_APPROACH	Estoy seguro de que no puedo acercarme más.
CANNOT_SKILL_ATTACK	No puedo atacar.
CANNOT_SKILL_BLUE	Si el Alma lobuna escarlata se encuentra activa, no puedes utilizar el Alma lobuna índigo.
CANNOT_SKILL_DEST_IN_SAFE	El enemigo está demasiado lejos.
CANNOT_SKILL_EQUIP_FISHING_ROD	No puedes pescar peces si no tienes equipada una caña.
CANNOT_SKILL_HAVE_TO_RIDE	Necesito un caballo antes de poder usar esto.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	No tengo una botella vacia.
CANNOT_SKILL_NEED_POISON_BOTTLE	No tengo una botella de veneno.
CANNOT_SKILL_NEED_TARGET	¿Quiénl es el objetivo?
CANNOT_SKILL_NOT_ENOUGH_HP	¡No tengo suficiente HP!
CANNOT_SKILL_NOT_ENOUGH_SP	¡No tengo suficiente SP!
CANNOT_SKILL_NOT_HORSE_SKILL	No puedo usar esto mientras cabalgo.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	No puedo usar esta habilidad con este arma.
CANNOT_SKILL_NOT_STANDING_HORSE_SKILL	No puedes utilizar esta habilidad sobre esta montura.
CANNOT_SKILL_NOT_YET_LEARN	No he aprendido esta habilidad.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Esto sólo afecta a los miembros del grupo.
CANNOT_SKILL_ONLY_FOR_CORPSE	Esto sólo afecta a los muertos.
CANNOT_SKILL_RED	Si el Alma lobuna índigo se encuentra activa, no puedes utilizar el Alma lobuna escarlata.
CANNOT_SKILL_REMOVE_FISHING_ROD	No puedo usar esta habilidad con una caña.
CANNOT_SKILL_SELF_IN_SAFE	No puedo atacar desde aquí.
CANNOT_SKILL_USE_SELF	No puedo usar esto conmigo mismo.
CANNOT_SKILL_WAIT_COOLTIME	Aún no puedo usar esta habilidad.
CANNOT_USE	No se puede usar.
CANNOT_USE_SUTRA_TO_GOOD_ALIGNMENT	No puedes utilizar la Alubia zen, ya que tu malévola disposición no puede reducirse más.
CANNOT_WHISPER_BLOCKED_TARGET	Primero debes eliminar a %s de tu lista de bloqueos.	SA
CANNOT_WHISPER_DEST_REFUSE	%s ha bloqueado el susurro.	SA
CANNOT_WHISPER_NOT_LOGON	%s no está conectado.	SA
CANNOT_WHISPER_SELF_REFUSE	No puedes susurrar algo a alguien si has bloqueado el susurro.	SNA
CANNOT_WHISPER_TARGET_BLOCKED_ME	%s te ha bloqueado.	SA
CANT_USE_MESSAGE_WHEN_EQUIP	No se puede utilizar con un objeto equipado.
CATCHKING_EVENT_MESSAGE_CARD_GAIN	Recibes Baraja/s del rey.
CATCHKING_EVENT_MESSAGE_CARD_PEICE_GAIN	Recibes Cartas del rey.
CATCHKING_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	No tienes suficientes objetos/dinero para jugar.
CATCHKING_EVENT_MESSAGE_NO_MORE_GAIN	Ya no puedes recibir más Barajas del rey.
CATEGORY_ARMOR_ARMOR_BODY	Armaduras
CATEGORY_ARMOR_ARMOR_GLOVE	Guantes
CATEGORY_ARMOR_ARMOR_HEAD	Cascos
CATEGORY_ARMOR_ARMOR_SHIELD	Escudos
CATEGORY_COSTUMES	Atuendos
CATEGORY_COSTUMES_AURA	Vestimentas del aura
