ACCE_ABSORB_CHANCE	Emiþ oraný: %d%%
ACCE_REFINE_COST	Kombinasyon maliyeti: %d
ACCE_ABSORB_COST	Kombinasyon maliyeti: %d
ACCE_ALREADY_REGISTER	Bu eþya zaten kullanýldý.
ACCE_ABSORB_CHANCE2	Emiþ oraný: %d%% ~ %d%%
ACCE_DO_YOU_CLEAN	Tüm mevcut bonuslarý kaldýrmak istiyor musunuz?
ACCE_FAILURE_CLEAN	Kaldýrýlabilecek bir bonus bulunmuyor.
ACCE_DEL_ABSORDITEM	Nesneyi em ve yok et?
ACCE_DEL_SERVEITEM	Kombinasyon baþarýsýz olursa kuþak 2 yok edilir.
ACCEPT_WARP_FROM_YOUR_FRIEND_REQUEST	%s adlý oyuncunun size ýþýnlanmasýný kabul ediyor musunuz?
ACCE_DEL_SERVEITEM2	Kombinasyon baþarýsýz olursa kuþak 2 yok edilir.
ACCE_INITEM	Nesneleri pencereye çek.
ACCE_MAXGRADE	Bu kiþiye özel üretimdir.
ACCE_MAX_DRAINRATE	Maksimum emiþ oraný
ACCE_NOTABSORBITEM	Emilmiþ olan bir silah veya zýrhý kullanamazsýn.
ACCE_NOT_SEALITEM	Ruha baðlý nesneler kullanamazsýn.
ACCE_NOT_USINGITEM	Kuþanýlan bir nesne kombine edilemez.
ACCE_NOT_WINDOWOPEN	Kombinasyon penceresi açýkken bu nesneyi kullanamazsýn.
ACCE_POSSIBLE_ACCE	Sadece omuz kuþaklarý kullanabilirsin.
ACCE_POSSIBLE_ACCEITEM	Bonusu sadece silah ve zýrhlardan elde edebilirsin.
AFF_LOVE_POINT	Sevgi Puaný: %%%d
ALIGNMENT_NAME	Sýralamasý Puanlarý:
alsoExportToCharset	windows-1254
ATTACK_ERROR_UNKNOWN	Bilinmeyen Saldýrý Hatasý: %s
AURA_BOOST_DRAIN_PER	Ek Emilim +%d%%
AURA_DRAIN_BOOST_PER	Emiþ oraný %.1f%% (+%d%%)
ATTENDANCE_REWARD_QUESTION	Ödülünü almak ister misin?
ATTR_6TH_7TH_ADD_QUESTION1	Bir bonus eklenirken bu eþyayý kullanamazsýn.
ATTR_6TH_7TH_ADD_QUESTION2	Bonusu gerçekten eklemek istiyor musun?
ATTR_6TH_7TH_CHANGE_FAIL	Bonusu deðiþtiremezsin.
ATTR_6TH_7TH_DESC1	a. 6. ve 7. bonuslarý ekleyebilmek için eþyaya gerekli malzemeleri eklemelisin.
ATTR_6TH_7TH_DESC2	b. Her parça, baþarý oranýný %2 artýrýr.
ATTR_6TH_7TH_DESC3	c. Baþarý oranýný ayrýca artýrmak için ekleme kullan.
ATTR_6TH_7TH_DESC4	d. Bonus 24 saatte eklenir. Bonusun eklendiði eþya önce YZK'da kalýr. Süreç tamamlandýktan sonra eþyaný tekrar alabilirsin.
ATTR_6TH_7TH_POSSIBILITY	Bir ekstra bonus ekleyebilirsin.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Baþarý olasýlýðý: %.1f%%
AURA_CLEAR_CANNOT_USE_SEALED_ITEM	Ruha baðlý bir nesnenin deðerleri deðiþtirilemez.
AURA_CLEAR_QUESTION_WHEN_USE	Toplanan deðerleri kaldýrmak istiyor musun? Kurtarýlamazlar.
AURA_DRAIN_PER	Emiþ oraný %%%.1f
AURA_EVOLUTION_GOLD	[Aura] Geliþim için yeterli Yang yok.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] Daha fazla bonus aktarýlamaz.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] Kuþanýlan eþyalar aktarýlamaz.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] Geliþtirilemez.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] Eþya sayýsý geliþtirmek için yeterli deðil.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] Yükseltilemez.
AURA_IMPOSSIBLE_GROWTHITEM2	[Aura] Gerekli malzemeleri eklemelisiniz.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Sadece aura giysisi, kalkan, kolye, küpe ve bileklik mümkün.
AURA_IMPOSSIBLE_REFINEITEM2	[Aura] Sadece aura giysisi, kalkan, kolye, küpe ve bileklik mümkün.
