ACCEPT	Tamam
ACCE_ABSORB	Bonus Emiþi
ACCE_COMBINE	Kombinasyon
ACCE_MAIN	Kuþak 1
ACCE_RESULT	Sonuç
ACCE_SERVE	Kuþak 2
alsoExportToCharset	windows-1254
ATTACH_METIN_INFO	Zihin taþýný eklemek istiyor musun?
ATTACH_METIN_TITLE	Zihin taþýný ekle
ATTENDANCE_TITLE	Patron Avcýsý Etkinliði
AURA_MAIN	Aura Giysisi
AURA_SUB	Malzeme
AUTO_AUTO_ATTACK	Saldýr
AUTO_AUTO_POSITION	Pozisyon
AUTO_AUTO_POTION	Ýksirler
AUTO_AUTO_RANGE	Odak
AUTO_AUTO_RESTART	Canlandýrma
AUTO_AUTO_ATTACK_STONE	Sadece metinlere saldýr
AUTO_AUTO_SKILL	Beceriler
AUTO_AUTO_SKILL	Beceriler
AUTO_CLEAR	Temizle
AUTO_END	Durdur
AUTO_OFF	Kapalý
AUTO_ON	Açýk
AUTO_OPTION_ACCEPT	Onayla
AUTO_OPTION_CLEAR	Sýfýrla
AUTO_OPTION_RANGE	Seviye
AUTO_POSITION_SETTING	Pozisyon
AUTO_POTION_SETTING	Ýksirler
AUTO_SAVE	Kaydet
AUTO_SETTING	Ayarlar
AUTO_SKILL_SETTING	Beceriler
AUTO_START	Baþla
AUTO_TITLE	Otomatik Av
CANCEL	iptal
CHANGE_PASSWORD_CONFIRM	Þifreyi tekrarla
CHANGE_PASSWORD_NEW	Yeni þifre
CHANGE_PASSWORD_OLD	Eski þifre
CHANGE_PASSWORD_TITLE	Þifre Deðiþtir
CHARACTER_ACTION	Duygu
CHARACTER_EMOTICON	Ýfade
CHARACTER_MAIN	Karakter
CHARACTER_MUTUAL_ACTION	Ortak Hareket
CHARACTER_NORMAL_ACTION	Normal Hareket
CHARACTER_QUEST	Görevler
CHARACTER_SKILL	Beceri
CHARACTER_SPECTIAL_ACTION	Özel hareketler
CLOSE	Kapat
COMB_APPEARANCE	Alýcý
COMB_ATTRIBUTE	Orijinal
COMB_MAIN	Alýcý
COMB_MATERIAL	Orijinal
COMB_SKILLBOOK_TILE	Kitap takas et
COMB_TITLE	
COMMUNITY_ACCEPT	Kabul et
COMMUNITY_ADD_FAVORITE_QUESTION	Favorilere eklensin mi?
COMMUNITY_AUTO_HUNT	Otomatik av kullanýyor
COMMUNITY_CHANNEL_INFO	Kanal: %d
COMMUNITY_CONFIG_FAMILY_MEMBER_LOGIN_ALARM	Eþ için çevrimiçi uyarý ekle
COMMUNITY_CONFIG_FRIEND_MEMBER_LOGIN_ALARM	Arkadaþlar için çevrimiçi uyarý ekle
COMMUNITY_CONFIG_GUILD_MEMBER_LOGIN_ALARM	Lonca üyeleri için çevrimiçi uyarý ekle
COMMUNITY_CONFIG_INCLUDE_FAMILY_MEMBER	Eþimin de engelle
COMMUNITY_CONFIG_INCLUDE_FRIEND_MEMBER	Arkadaþlarýmýn da engelle
COMMUNITY_CONFIG_INCLUDE_GUILD_MEMBER	Lonca üyelerinin de engelle
COMMUNITY_CONFIG_INIT	Sýfýrla
COMMUNITY_CONFIG_INIT_QUESTION	Ayarlarý sýfýrlamak istiyor musun?
COMMUNITY_CONFIG_LEVEL_INFO_SHOW	Arkadaþ listendeki arkadaþlarýna seviyeni göstermek için seç.
COMMUNITY_CONFIG_LOCATION_INFO_SHOW	Arkadaþ listendeki arkadaþlarýna konumunu göstermek için seç.
COMMUNITY_CONFIG_MAIN_BLOCK	Engelleme seçenekleri
COMMUNITY_CONFIG_MAIN_LOGIN_ALARM	Çevrimiçi uyarý ayarlarý
COMMUNITY_CONFIG_MAIN_MY_INFO_ALARM	Profil bildirim ayarlarý
COMMUNITY_CONFIG_OFF	KAPALI
COMMUNITY_CONFIG_ON	AÇIK
COMMUNITY_CONFIG_QUESTION_SAVE	Deðiþiklikleri kaydetmek istiyor musun?
COMMUNITY_CONFIG_SAVE	Kaydet
COMMUNITY_CONFIG_SUB_BLOCK_EXCHANGE	Ticareti engelle (1 : 1)
COMMUNITY_CONFIG_SUB_BLOCK_FRIEND_REQUEST	Arkadaþlýk isteðini engelle
COMMUNITY_CONFIG_SUB_BLOCK_GUILD_INVITE	Lonca davetini engelle
COMMUNITY_CONFIG_SUB_BLOCK_PARTY_INVITE	Grup davetlerini engelle
COMMUNITY_CONFIG_SUB_BLOCK_PARTY_REQUEST	Grup isteklerini engelle
COMMUNITY_CONFIG_SUB_BLOCK_WHISPER	Fýsýltýyý engelle
COMMUNITY_CONFIG_SUB_LOGIN_ALARM	Çevrimiçi uyarýlar
COMMUNITY_CONFIG_SUB_MY_INFO_ALARM	Profili göster
