Vnum	Name	Rank	Type	BattleType	Level	Size	AiFlags	MountCapacity	RaceFlags	ImmuneFlags	Empire	Folder	OnClick	St	Dx	Ht	Iq	MinDamage	MaxDamage	MaxHp	RegenCycle	RegenPercent	MinGold	MaxGold	Exp	Def	AttackSpeed	MoveSpeed	AggressiveHpPct	AggressiveSight	AttackRange	DropItemGroup	ResurrectionVnum	EnchantCurse	EnchantSlow	EnchantPoison	EnchantStun	EnchantCritical	EnchantPenetrate	ResistSword	ResistTwoHanded	ResistDagger	ResistBell	ResistFan	ResistBow	ResistFire	ResistElect	ResistMagic	ResistWind	ResistPoison	DamMultiply	SummonVnum	DrainSp	MobColor	PolymorphItem	SkillLevel0	SkillVnum0	SkillLevel1	SkillVnum1	SkillLevel2	SkillVnum2	SkillLevel3	SkillVnum3	SkillLevel4	SkillVnum4	SpBerserk	SpStoneSkin	SpGodSpeed	SpDeathBlow	SpRevive	HitRange
101	들개	PAWN	MONSTER	MELEE	1			0	ANIMAL		0	stray_dog	0	3	6	5	2	20	24	126	6	7	0	0	15	4	100	100	0	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
102	늑대	PAWN	MONSTER	MELEE	3			0	ANIMAL		0	wolf	0	4	9	7	2	23	28	162	6	7	0	0	39	6	100	100	25	2000	175	30028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
103	두목늑대	PAWN	MONSTER	MELEE	4			0	ANIMAL		0	wolf	0	8	5	10	3	25	30	182	6	7	0	0	51	7	100	130	25	2000	175	30069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
104	푸른늑대	PAWN	MONSTER	MELEE	6			0	ANIMAL		0	wolf	0	9	12	6	3	25	38	225	6	7	0	0	75	9	100	100	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
105	푸른 두목늑대	PAWN	MONSTER	MELEE	9			0	ANIMAL		0	wolf	0	14	8	16	4	33	41	297	6	7	0	0	111	13	80	100	25	2000	175	30027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
106	회색늑대	PAWN	MONSTER	MELEE	13			0	ANIMAL		0	wolf	0	21	21	10	5	40	49	412	6	7	0	0	159	17	100	100	25	2000	175	30070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
107	회색 두목늑대	S_PAWN	MONSTER	MELEE	16			0	ANIMAL		0	wolf	0	23	24	12	6	45	55	614	6	12	0	0	234	20	80	130	25	2000	175	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
108	멧돼지	PAWN	MONSTER	MELEE	7			0	ANIMAL		0	wild_boar	0	14	7	10	3	30	37	248	6	7	0	0	87	11	80	100	30	2000	175	30004	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
109	붉은 멧돼지	S_PAWN	MONSTER	MELEE	10			0	ANIMAL		0	wild_boar	0	22	9	13	4	35	43	389	3	7	0	0	148	14	80	100	30	2000	175	30003	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
110	곰	PAWN	MONSTER	POWER	12			0	ANIMAL		0	bear	0	20	10	20	5	39	47	381	6	7	0	0	147	16	100	70	40	2000	175	30010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
111	회색곰	S_PAWN	MONSTER	TANKER	15			0	ANIMAL		0	bear	0	14	17	34	6	44	53	572	6	7	0	0	220	19	100	100	40	2000	175	30071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
112	검은곰	PAWN	MONSTER	POWER	19			0	ANIMAL		0	bear	0	36	14	21	7	50	62	624	6	7	0	0	385	24	100	100	40	2000	175	30053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
113	불곰	S_PAWN	MONSTER	POWER	21			0	ANIMAL		0	bear	0	35	15	23	8	54	66	845	6	12	0	0	510	26	100	100	40	2000	175	30072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
114	호랑이	PAWN	MONSTER	POWER	18			0	ANIMAL		0	tiger	0	18	20	27	7	49	60	585	6	12	0	0	365	22	100	100	50	2000	175	30038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
115	대호	S_PAWN	MONSTER	POWER	24		AGGR	0	ANIMAL		0	tiger	0	25	17	45	9	59	72	1007	10	22	0	0	582	29	100	130	50	2000	175	30023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
131	저주받은 늑대	KNIGHT	MONSTER	MELEE	8		AGGR	0	ANIMAL	CURSE	0	wolf	0	16	16	31	8	32	39	435	6	7	0	0	198	12	100	120	100	2000	175	30028	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
132	저주받은 두목늑대	S_KNIGHT	MONSTER	MELEE	9		AGGR	0	ANIMAL	CURSE	0	wolf	0	23	24	31	8	33	41	743	6	7	0	0	444	13	100	120	100	2000	175	30069	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	16764159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
133	저주받은 푸른늑대	KNIGHT	MONSTER	MELEE	11		AGGR	0	ANIMAL	CURSE	0	wolf	0	16	16	32	8	37	45	564	6	7	0	0	270	15	100	120	100	2000	175	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
